fragment_id,time_point,acc_x,acc_y,acc_z,acc_xg,acc_yg,acc_zg,behavior_id
0,27,0.3,-0.3,0.1,0.6,4.5,8.8,0
0,108,0.1,0,-0.4,0.4,4.7,8.4,0
0,198,0.1,0,0.3,0.9,4.6,9,0
0,297,0.1,-0.1,-0.5,0.8,4.7,7.2,0
0,388,0.1,0.2,0.6,0.9,4.7,8.9,0
0,471,-0.2,0,0.2,0.6,4.9,8.6,0
0,560,0,0,0.1,0.6,4.9,8.6,0
0,644,0,0,-0.7,1.3,5,8.3,0
0,730,0.4,0,-0.2,1,5.1,8.3,0
0,814,-0.1,0,-0.2,0.6,5,8.1,0
0,903,-0.1,0,0.3,0.6,5,8.6,0
0,990,-0.1,0,-0.1,0.6,5,8.1,0
0,1078,-0.3,0.2,0.3,0.4,5.2,8.5,0
0,1162,0.2,-0.1,0.4,0.7,4.9,8.5,0
0,1248,-0.9,-0.1,-0.3,-0.2,5,9.3,0
0,1342,0.4,-0.2,0.7,0.4,4.8,9,0
0,1427,0,-0.1,-0.6,0.6,4.9,7.9,0
0,1516,-0.1,0,0.7,0.5,5,8.9,0
0,1603,0,-0.1,-0.2,0.6,4.8,8.3,0
0,1684,0,0,0,0.6,4.9,8.6,0
0,1772,0.1,0,-0.2,0.6,4.9,8.2,0
0,1860,0.1,0,0,0.8,4.8,8.6,0
0,1955,0.1,0,0,0.7,4.8,8.5,0
0,2041,0,0.1,0,0.7,4.9,8.5,0
0,2127,0,0,0.1,0.6,4.8,8.4,0
0,2212,0.1,0,0,0.6,4.8,8.5,0
0,2298,0.1,0,0.1,0.7,4.8,8.6,0
0,2384,0,0,-0.1,0.5,4.8,8.4,0
0,2477,0,0.1,0.2,0.5,4.8,8.6,0
0,2561,0.2,0,0.2,0.7,4.8,8.7,0
0,2648,0.3,-0.1,0,1,4.6,8.4,0
0,2731,-0.1,0.1,-0.8,0.7,4.6,8,0
0,2816,0.2,-0.1,-0.3,0.9,4.6,8.7,0
0,2913,-0.1,0.1,-0.1,0.6,5,8.1,0
0,3008,0,0,0.1,0.7,4.8,8.6,0
0,3096,0,0,0,0.9,4.7,8.5,0
0,3189,-0.1,0.1,0.1,0.8,4.7,8.5,0
0,3276,0,0,-0.1,0.8,4.7,8.5,0
0,3362,0,0.1,0.2,0.8,4.7,8.9,0
0,3448,0.1,0,-0.1,0.8,4.7,8.3,0
0,3536,-0.1,0.1,0.1,0.7,4.6,8.5,0
0,3621,-0.4,0,0.3,0.6,4.8,9.3,0
0,3713,-0.2,0,-0.4,0.6,4.6,8.4,0
0,3804,0,-0.1,0.1,0.8,4.5,8.6,0
0,3893,0,0.1,0.2,0.7,4.4,8.8,0
0,3989,-0.1,0,0,0.7,4.6,8.3,0
0,4081,0,0,0.1,0.7,4.6,8.8,0
